   Wavelength  Flux
   4314.500       1.646989    
   4315.400       1.648609    
   4316.300       1.652211    
   4317.200       1.643355    
   4318.100       1.628501    
   4319.000       1.609035    
   4319.900       1.593271    
   4320.800       1.582647    
   4321.700       1.573430    
   4322.600       1.557486    
   4323.500       1.531907    
   4324.400       1.491932    
   4325.300       1.455016    
   4326.200       1.434034    
   4327.100       1.426229    
   4328.000       1.411695    
   4328.900       1.387190    
   4329.800       1.355638    
   4330.700       1.320664    
   4331.600       1.282349    
   4332.500       1.241926    
   4333.400       1.194339    
   4334.300       1.140594    
   4335.200       1.077079    
   4336.100       1.005663    
   4337.000      0.9231129    
   4337.900      0.8234155    
   4338.800      0.7080787    
   4339.700      0.6100615    
   4340.600      0.5885398    
   4341.500      0.6559026    
   4342.400      0.7683045    
   4343.300      0.8772004    
   4344.200      0.9679765    
   4345.100       1.042320    
   4346.000       1.107196    
   4346.900       1.161766    
   4347.800       1.210028    
   4348.700       1.255676    
   4349.600       1.297415    
   4350.500       1.324667    
   4351.400       1.345102    
   4352.300       1.372061    
   4353.200       1.408293    
   4354.100       1.441927    
   4355.000       1.471783    
   4355.900       1.496529    
   4356.800       1.520211    
   4357.700       1.539843    
   4358.600       1.557572    
   4359.500       1.573059    
   4360.400       1.591411    
   4361.300       1.606969    
   4362.200       1.619218    
   4363.100       1.630942    
   4364.000       1.644785    
   4364.900       1.654016    
   4365.800       1.659539    
   4366.700       1.664158    
   4367.600       1.667163    
   4368.500       1.675693    
   4369.400       1.682632    
   4370.300       1.683018    
   4371.200       1.683914    
   4372.100       1.695040    
   4373.000       1.701153    
   4373.900       1.700737    
   4374.800       1.700517    
   4375.700       1.713787    
   4376.600       1.732456    
   4377.500       1.742827    
   4378.400       1.744143    
   4379.300       1.748029    
   4380.200       1.751820    
   4381.100       1.744961    
   4382.000       1.716015    
   4382.900       1.685138    
   4383.800       1.677657    
   4384.700       1.701564    
   4385.600       1.728994    
   4386.500       1.745100    
   4387.400       1.752659    
   4388.300       1.756030    
   4389.200       1.754857    
   4390.100       1.756982    
   4391.000       1.758165    
   4391.900       1.760283    
